"date","ccaa","hospitalized","intensive_care"
2020-04-01,"Canarias","341",107
2020-04-02,"Canarias","332",105
2020-04-03,"Canarias","338",100
2020-04-04,"Canarias","344",101
2020-04-05,"Canarias","368",98
2020-04-06,"Canarias","377",95
2020-04-07,"Canarias","373",102
2020-04-08,"Canarias","370",94
2020-04-09,"Canarias","376",92
2020-04-10,"Canarias","355",87
2020-04-11,"Canarias","336",90
2020-04-12,"Canarias","356",86
2020-04-13,"Canarias","340",88
2020-04-14,"Canarias","337",83
2020-04-15,"Canarias","316",77
2020-04-16,"Canarias","313",72
2020-04-17,"Canarias","270",69
2020-04-18,"Canarias","256",70
2020-04-19,"Canarias","235",73
2020-04-20,"Canarias","237",69
2020-04-21,"Canarias","232",67
2020-04-22,"Canarias","194",62
2020-04-23,"Canarias","180",60
2020-04-24,"Canarias","164",55
2020-04-25,"Canarias","159",55
2020-04-26,"Canarias","160",53
2020-04-27,"Canarias","151",46
2020-04-28,"Canarias","148",49
2020-04-29,"Canarias","142",46
2020-04-30,"Canarias","135",46
2020-08-01,"Canarias","24",2
2020-08-02,"Canarias","26",2
2020-08-03,"Canarias","28",1
2020-08-04,"Canarias","33",2
2020-08-05,"Canarias","32",2
2020-08-06,"Canarias","30",2
2020-08-07,"Canarias","35",2
2020-08-08,"Canarias","39",2
2020-08-09,"Canarias","46",1
2020-08-10,"Canarias","40",1
2020-08-11,"Canarias","44",2
2020-08-12,"Canarias","54",3
2020-08-13,"Canarias","55",3
2020-08-14,"Canarias","60",7
2020-08-15,"Canarias","63",7
2020-08-16,"Canarias","64",7
2020-08-17,"Canarias","79",9
2020-08-18,"Canarias","88",13
2020-08-19,"Canarias","92",13
2020-08-20,"Canarias","92",13
2020-08-21,"Canarias","98",14
2020-08-22,"Canarias","106",19
2020-08-23,"Canarias","118",22
2020-08-24,"Canarias","134",23
2020-08-25,"Canarias","131",27
2020-08-26,"Canarias","139",29
2020-08-27,"Canarias","154",31
2020-08-28,"Canarias","154",33
2020-08-29,"Canarias","170",35
2020-08-30,"Canarias","187",33
2020-08-31,"Canarias","180",38
2020-12-01,"Canarias","175",44
2020-12-02,"Canarias","166",43
2020-12-03,"Canarias","176",47
2020-12-04,"Canarias","185",45
2020-12-05,"Canarias","189",46
2020-12-06,"Canarias","201",47
2020-12-07,"Canarias","204",43
2020-12-08,"Canarias","220",45
2020-12-09,"Canarias","226",44
2020-12-10,"Canarias","218",46
2020-12-11,"Canarias","227",46
2020-12-12,"Canarias","248",48
2020-12-13,"Canarias","246",50
2020-12-14,"Canarias","261",50
2020-12-15,"Canarias","264",46
2020-12-16,"Canarias","258",45
2020-12-17,"Canarias","257",41
2020-07-01,"Canarias","11",3
2020-07-02,"Canarias","9",2
2020-07-03,"Canarias","8",1
2020-07-04,"Canarias","12",2
2020-07-05,"Canarias","13",2
2020-07-06,"Canarias","16",2
2020-07-07,"Canarias","18",1
2020-07-08,"Canarias","12",1
2020-07-09,"Canarias","12",1
2020-07-10,"Canarias","9",1
2020-07-11,"Canarias","11",1
2020-07-12,"Canarias","13",1
2020-07-13,"Canarias","12",0
2020-07-14,"Canarias","15",1
2020-07-15,"Canarias","12",1
2020-07-16,"Canarias","20",1
2020-07-17,"Canarias","12",1
2020-07-18,"Canarias","12",1
2020-07-19,"Canarias","16",1
2020-07-20,"Canarias","16",2
2020-07-21,"Canarias","15",2
2020-07-22,"Canarias","14",1
2020-07-23,"Canarias","18",1
2020-07-24,"Canarias","20",1
2020-07-25,"Canarias","22",1
2020-07-26,"Canarias","26",1
2020-07-27,"Canarias","26",1
2020-07-28,"Canarias","26",1
2020-07-29,"Canarias","25",3
2020-07-30,"Canarias","24",2
2020-07-31,"Canarias","26",2
2020-06-01,"Canarias","43",10
2020-06-02,"Canarias","38",7
2020-06-03,"Canarias","41",5
2020-06-04,"Canarias","38",4
2020-06-05,"Canarias","34",4
2020-06-06,"Canarias","33",3
2020-06-07,"Canarias","35",3
2020-06-08,"Canarias","32",3
2020-06-09,"Canarias","30",3
2020-06-10,"Canarias","26",3
2020-06-11,"Canarias","26",2
2020-06-12,"Canarias","26",3
2020-06-13,"Canarias","28",4
2020-06-14,"Canarias","21",2
2020-06-15,"Canarias","25",2
2020-06-16,"Canarias","31",3
2020-06-17,"Canarias","23",3
2020-06-18,"Canarias","22",3
2020-06-19,"Canarias","25",4
2020-06-20,"Canarias","25",4
2020-06-21,"Canarias","29",5
2020-06-22,"Canarias","21",4
2020-06-23,"Canarias","20",4
2020-06-24,"Canarias","24",6
2020-06-25,"Canarias","15",3
2020-06-26,"Canarias","16",4
2020-06-27,"Canarias","15",4
2020-06-28,"Canarias","15",4
2020-06-29,"Canarias","14",4
2020-06-30,"Canarias","11",4
2020-03-23,"Canarias","228",51
2020-03-24,"Canarias","257",63
2020-03-25,"Canarias","289",72
2020-03-26,"Canarias","315",77
2020-03-27,"Canarias","342",98
2020-03-28,"Canarias","363",90
2020-03-29,"Canarias","395",94
2020-03-30,"Canarias","384",99
2020-03-31,"Canarias","337",105
2020-05-01,"Canarias","124",43
2020-05-02,"Canarias","111",43
2020-05-03,"Canarias","115",40
2020-05-04,"Canarias","125",32
2020-05-05,"Canarias","129",25
2020-05-06,"Canarias","126",24
2020-05-07,"Canarias","115",20
2020-05-08,"Canarias","105",20
2020-05-09,"Canarias","103",21
2020-05-10,"Canarias","96",21
2020-05-11,"Canarias","89",18
2020-05-12,"Canarias","87",18
2020-05-13,"Canarias","82",16
2020-05-14,"Canarias","78",19
2020-05-15,"Canarias","71",16
2020-05-16,"Canarias","66",14
2020-05-17,"Canarias","68",15
2020-05-18,"Canarias","68",17
2020-05-19,"Canarias","58",18
2020-05-20,"Canarias","54",17
2020-05-21,"Canarias","55",14
2020-05-22,"Canarias","48",15
2020-05-23,"Canarias","52",15
2020-05-24,"Canarias","46",13
2020-05-25,"Canarias","54",12
2020-05-26,"Canarias","56",9
2020-05-27,"Canarias","53",7
2020-05-28,"Canarias","49",7
2020-05-29,"Canarias","44",7
2020-05-30,"Canarias","45",8
2020-05-31,"Canarias","49",7
2020-11-01,"Canarias","169",44
2020-11-02,"Canarias","174",44
2020-11-03,"Canarias","184",43
2020-11-04,"Canarias","170",48
2020-11-05,"Canarias","160",50
2020-11-06,"Canarias","162",50
2020-11-07,"Canarias","181",49
2020-11-08,"Canarias","190",46
2020-11-09,"Canarias","183",47
2020-11-10,"Canarias","192",48
2020-11-11,"Canarias","196",47
2020-11-12,"Canarias","198",52
2020-11-13,"Canarias","185",53
2020-11-14,"Canarias","181",54
2020-11-15,"Canarias","193",50
2020-11-16,"Canarias","197",49
2020-11-17,"Canarias","191",51
2020-11-18,"Canarias","184",46
2020-11-19,"Canarias","173",46
2020-11-20,"Canarias","162",44
2020-11-21,"Canarias","175",43
2020-11-22,"Canarias","179",41
2020-11-23,"Canarias","187",40
2020-11-24,"Canarias","197",40
2020-11-25,"Canarias","177",41
2020-11-26,"Canarias","177",44
2020-11-27,"Canarias","155",42
2020-11-28,"Canarias","166",43
2020-11-29,"Canarias","178",43
2020-11-30,"Canarias","173",42
2020-10-01,"Canarias","197",56
2020-10-02,"Canarias","180",54
2020-10-03,"Canarias","205",55
2020-10-04,"Canarias","228",56
2020-10-05,"Canarias","229",60
2020-10-06,"Canarias","208",65
2020-10-07,"Canarias","203",65
2020-10-08,"Canarias","200",67
2020-10-09,"Canarias","188",66
2020-10-10,"Canarias","192",67
2020-10-11,"Canarias","212",65
2020-10-12,"Canarias","219",59
2020-10-13,"Canarias","219",61
2020-10-14,"Canarias","234",61
2020-10-15,"Canarias","227",56
2020-10-16,"Canarias","203",54
2020-10-17,"Canarias","202",55
2020-10-18,"Canarias","205",56
2020-10-19,"Canarias","209",55
2020-10-20,"Canarias","206",52
2020-10-21,"Canarias","210",49
2020-10-22,"Canarias","213",47
2020-10-23,"Canarias","224",48
2020-10-24,"Canarias","226",48
2020-10-25,"Canarias","216",48
2020-10-26,"Canarias","200",48
2020-10-27,"Canarias","187",48
2020-10-28,"Canarias","185",45
2020-10-29,"Canarias","169",47
2020-10-30,"Canarias","161",44
2020-10-31,"Canarias","166",43
2020-09-01,"Canarias","163",42
2020-09-02,"Canarias","168",45
2020-09-03,"Canarias","178",52
2020-09-04,"Canarias","182",52
2020-09-05,"Canarias","195",49
2020-09-06,"Canarias","206",47
2020-09-07,"Canarias","208",54
2020-09-08,"Canarias","207",58
2020-09-09,"Canarias","200",60
2020-09-10,"Canarias","192",59
2020-09-11,"Canarias","191",62
2020-09-12,"Canarias","199",60
2020-09-13,"Canarias","209",56
2020-09-14,"Canarias","208",54
2020-09-15,"Canarias","196",54
2020-09-16,"Canarias","195",57
2020-09-17,"Canarias","187",58
2020-09-18,"Canarias","184",56
2020-09-19,"Canarias","186",57
2020-09-20,"Canarias","204",60
2020-09-21,"Canarias","198",59
2020-09-22,"Canarias","190",61
2020-09-23,"Canarias","183",62
2020-09-24,"Canarias","198",61
2020-09-25,"Canarias","201",64
2020-09-26,"Canarias","189",66
2020-09-27,"Canarias","192",67
2020-09-28,"Canarias","190",67
2020-09-29,"Canarias","204",63
2020-09-30,"Canarias","187",63
