ine_code,provincia,poblacion
02,Albacete,388167
03,Alicante/Alacant,1858683
04,Almería,716820
01,Araba/Álava,331549
33,Asturias,1022800
05,Ávila,157640
06,Badajoz,673559
07,"Balears, Illes",1149460
08,Barcelona,5664579
48,Bizkaia,1152651
09,Burgos,356958
10,Cáceres,394151
11,Cádiz,1240155
39,Cantabria,581078
12,Castellón/Castelló,579962
13,Ciudad Real,495761
14,Córdoba,782979
15,"Coruña, A",1119596
16,Cuenca,196329
20,Gipuzkoa,723576
17,Girona,771044
18,Granada,914678
19,Guadalajara,257762
21,Huelva,521870
22,Huesca,220461
23,Jaén,633564
24,León,460001
25,Lleida,434930
27,Lugo,329587
28,Madrid,6663394
29,Málaga,1661785
30,Murcia,1493898
31,Navarra,654214
32,Ourense,307651
34,Palencia,160980
35,"Palmas, Las",1120406
36,Pontevedra,942665
26,"Rioja, La",316798
37,Salamanca,330119
38,"Santa Cruz de Tenerife",1032983
40,Segovia,153129
41,Sevilla,1942389
42,Soria,88636
43,Tarragona,804664
44,Teruel,134137
45,Toledo,694844
46,Valencia/València,2565124
47,Valladolid,519546
49,Zamora,172539
50,Zaragoza,964693
51,Ceuta,84777
52,Melilla,86487
